split,source_dataset,standardized_label,count
test,HealthFC,not_enough_information,64
test,HealthFC,refuted,18
test,HealthFC,supported,31
test,PubHealth,mixture,201
test,PubHealth,not_enough_information,45
test,PubHealth,refuted,388
test,PubHealth,supported,599
train,HealthFC,not_enough_information,296
train,HealthFC,refuted,88
train,HealthFC,supported,141
train,PubHealth,mixture,1434
train,PubHealth,not_enough_information,291
train,PubHealth,refuted,3001
train,PubHealth,supported,5078
val,HealthFC,not_enough_information,63
val,HealthFC,refuted,19
val,HealthFC,supported,30
val,PubHealth,mixture,164
val,PubHealth,not_enough_information,41
val,PubHealth,refuted,380
val,PubHealth,supported,629
